time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.061664000000000004,0.061951,0.06177942,0.061791,6.817098796408862e-05,,,,,,8192,64,8,4,131072,1,64,1024,True,FLASH_ATTENTION
0.06499100000000001,0.065312,0.06515444000000001,0.0651515,6.843570997659037e-05,,,,,,8192,64,8,4,131072,1,64,1088,True,FLASH_ATTENTION
0.068255,0.06863899999999999,0.06848364,0.068479,9.906679766702896e-05,,,,,,8192,64,8,4,131072,1,64,1152,True,FLASH_ATTENTION
0.071679,0.072095,0.0719225,0.071935,7.680136717532992e-05,,,,,,8192,64,8,4,131072,1,64,1216,True,FLASH_ATTENTION
0.075136,0.07552,0.07536882000000002,0.0753595,7.838257204251436e-05,,,,,,8192,64,8,4,131072,1,64,1280,True,FLASH_ATTENTION
0.078591,0.078879,0.07875762000000001,0.078751,7.038121624411025e-05,,,,,,8192,64,8,4,131072,1,64,1344,True,FLASH_ATTENTION
0.081887,0.082304,0.08209786000000001,0.082111,0.00010981530130177726,,,,,,8192,64,8,4,131072,1,64,1408,True,FLASH_ATTENTION
0.085375,0.08576,0.08560558000000001,0.085631,8.620210902292416e-05,,,,,,8192,64,8,4,131072,1,64,1472,True,FLASH_ATTENTION
0.088926,0.08924599999999999,0.08907418,0.0890695,7.6958869534316e-05,,,,,,8192,64,8,4,131072,1,64,1536,True,FLASH_ATTENTION
0.092319,0.092799,0.09257206,0.0925435,9.984616367192194e-05,,,,,,8192,64,8,4,131072,1,64,1600,True,FLASH_ATTENTION
0.09561499999999999,0.096127,0.0959333,0.095935,9.174513611085856e-05,,,,,,8192,64,8,4,131072,1,64,1664,True,FLASH_ATTENTION
0.099071,0.09964700000000001,0.09939926,0.09939100000000001,0.00010153911758529372,,,,,,8192,64,8,4,131072,1,64,1728,True,FLASH_ATTENTION
0.102559,0.103135,0.10293601999999998,0.102943,0.00010899990642197725,,,,,,8192,64,8,4,131072,1,64,1792,True,FLASH_ATTENTION
0.105919,0.106272,0.10608660000000002,0.10611100000000001,8.419429909441693e-05,,,,,,8192,64,8,4,131072,1,64,1856,True,FLASH_ATTENTION
0.109279,0.10975900000000001,0.10957042000000002,0.1095675,8.931407279930762e-05,,,,,,8192,64,8,4,131072,1,64,1920,True,FLASH_ATTENTION
0.112831,0.11331100000000001,0.11301526000000002,0.113023,0.0001007576915178197,,,,,,8192,64,8,4,131072,1,64,1984,True,FLASH_ATTENTION
0.01392,0.014112,0.01402232,0.014016,3.897714201939386e-05,,,,,,8192,64,8,4,131072,1,96,96,True,FLASH_ATTENTION
0.017407,0.017536000000000003,0.017460299999999998,0.01744,2.9937434759845978e-05,,,,,,8192,64,8,4,131072,1,96,192,True,FLASH_ATTENTION
0.024096,0.024352000000000002,0.02423854,0.024239499999999997,5.970568147169925e-05,,,,,,8192,64,8,4,131072,1,96,288,True,FLASH_ATTENTION
0.027583,0.027808,0.027692579999999998,0.02768,4.66274983244868e-05,,,,,,8192,64,8,4,131072,1,96,384,True,FLASH_ATTENTION
0.034336,0.034623,0.03449774,0.034496000000000006,5.549227333602353e-05,,,,,,8192,64,8,4,131072,1,96,480,True,FLASH_ATTENTION
0.03776,0.038079999999999996,0.03796968,0.037982999999999996,5.7744416180268445e-05,,,,,,8192,64,8,4,131072,1,96,576,True,FLASH_ATTENTION
0.044575000000000004,0.044832000000000004,0.0447305,0.044735,5.918555567028177e-05,,,,,,8192,64,8,4,131072,1,96,672,True,FLASH_ATTENTION
0.048096,0.048352,0.048226240000000004,0.048223999999999996,5.595804142390968e-05,,,,,,8192,64,8,4,131072,1,96,768,True,FLASH_ATTENTION
0.054911,0.055262,0.05507184,0.055071,5.8687429659170136e-05,,,,,,8192,64,8,4,131072,1,96,864,True,FLASH_ATTENTION
0.058335000000000005,0.058623,0.05846012,0.058463,5.6588564215749805e-05,,,,,,8192,64,8,4,131072,1,96,960,True,FLASH_ATTENTION
0.065183,0.065535,0.0653498,0.065344,7.775397095968795e-05,,,,,,8192,64,8,4,131072,1,96,1056,True,FLASH_ATTENTION
0.068544,0.068895,0.0687218,0.068704,6.679011902968966e-05,,,,,,8192,64,8,4,131072,1,96,1152,True,FLASH_ATTENTION
0.07536100000000001,0.075681,0.07555472,0.075553,6.873340963461737e-05,,,,,,8192,64,8,4,131072,1,96,1248,True,FLASH_ATTENTION
0.078847,0.079296,0.079093,0.07910299999999999,9.024832408416348e-05,,,,,,8192,64,8,4,131072,1,96,1344,True,FLASH_ATTENTION
0.08556699999999999,0.08611100000000001,0.08588586,0.085887,9.559979288680626e-05,,,,,,8192,64,8,4,131072,1,96,1440,True,FLASH_ATTENTION
0.08905500000000001,0.089503,0.08936094000000003,0.089375,7.737839750214276e-05,,,,,,8192,64,8,4,131072,1,96,1536,True,FLASH_ATTENTION
0.09583900000000001,0.096255,0.09611112000000002,0.096127,8.159329384207901e-05,,,,,,8192,64,8,4,131072,1,96,1632,True,FLASH_ATTENTION
0.099231,0.099776,0.09955646,0.099551,9.546501139161001e-05,,,,,,8192,64,8,4,131072,1,96,1728,True,FLASH_ATTENTION
0.106113,0.106529,0.1063683,0.106369,9.481038972602287e-05,,,,,,8192,64,8,4,131072,1,96,1824,True,FLASH_ATTENTION
0.10956600000000001,0.110111,0.10984096000000003,0.10982349999999999,0.00010482250903312638,,,,,,8192,64,8,4,131072,1,96,1920,True,FLASH_ATTENTION
0.014272,0.014400000000000001,0.014342160000000001,0.014336,3.134476670833583e-05,,,,,,8192,64,8,4,131072,1,128,128,True,FLASH_ATTENTION
0.021055,0.021185,0.02111644,0.02112,3.7462066146969915e-05,,,,,,8192,64,8,4,131072,1,128,256,True,FLASH_ATTENTION
0.027872,0.028064000000000002,0.027957580000000003,0.027951499999999997,4.6638220377711607e-05,,,,,,8192,64,8,4,131072,1,128,384,True,FLASH_ATTENTION
0.03472,0.03488,0.034808700000000005,0.034815,4.2052467228451095e-05,,,,,,8192,64,8,4,131072,1,128,512,True,FLASH_ATTENTION
0.041534999999999996,0.04176,0.041661619999999996,0.041664,4.989504584625567e-05,,,,,,8192,64,8,4,131072,1,128,640,True,FLASH_ATTENTION
0.048415,0.048639,0.04850382,0.048511000000000006,5.6058430231322435e-05,,,,,,8192,64,8,4,131072,1,128,768,True,FLASH_ATTENTION
0.055231,0.055519,0.055374179999999995,0.055391,6.806429019684216e-05,,,,,,8192,64,8,4,131072,1,128,896,True,FLASH_ATTENTION
0.062079999999999996,0.0624,0.06221518000000001,0.062208,6.232934782267473e-05,,,,,,8192,64,8,4,131072,1,128,1024,True,FLASH_ATTENTION
0.068896,0.069216,0.06905296,0.069055,6.98171784018808e-05,,,,,,8192,64,8,4,131072,1,128,1152,True,FLASH_ATTENTION
0.07577500000000001,0.07628700000000001,0.07594174,0.075935,9.578492783314115e-05,,,,,,8192,64,8,4,131072,1,128,1280,True,FLASH_ATTENTION
0.082591,0.08304,0.08280632,0.08279900000000001,8.283319141503595e-05,,,,,,8192,64,8,4,131072,1,128,1408,True,FLASH_ATTENTION
0.089343,0.089823,0.08960822,0.0895995,8.751715031923729e-05,,,,,,8192,64,8,4,131072,1,128,1536,True,FLASH_ATTENTION
0.096223,0.09657500000000001,0.09638434,0.096383,8.244794964097139e-05,,,,,,8192,64,8,4,131072,1,128,1664,True,FLASH_ATTENTION
0.10316700000000001,0.103488,0.10331194000000002,0.103295,7.278719942407408e-05,,,,,,8192,64,8,4,131072,1,128,1792,True,FLASH_ATTENTION
0.109951,0.110399,0.11014955999999998,0.110143,0.00010239065582366525,,,,,,8192,64,8,4,131072,1,128,1920,True,FLASH_ATTENTION
0.014272,0.014432,0.01434992,0.014336,3.85620746329863e-05,,,,,,8192,64,8,4,131072,1,128,128,True,FLASH_ATTENTION
0.021055,0.021248000000000003,0.02113388,0.0211355,4.493757447838045e-05,,,,,,8192,64,8,4,131072,1,128,256,True,FLASH_ATTENTION
0.027903,0.028064000000000002,0.02798318,0.0279995,4.587447656377185e-05,,,,,,8192,64,8,4,131072,1,128,384,True,FLASH_ATTENTION
0.034688000000000004,0.034912,0.03482516,0.03481600000000001,4.632811673271326e-05,,,,,,8192,64,8,4,131072,1,128,512,True,FLASH_ATTENTION
0.041503,0.04176,0.041664940000000004,0.041664,5.686841302515871e-05,,,,,,8192,64,8,4,131072,1,128,640,True,FLASH_ATTENTION
0.048415,0.048608,0.04849556,0.048479999999999995,4.846696194316332e-05,,,,,,8192,64,8,4,131072,1,128,768,True,FLASH_ATTENTION
